AnimalID	Pariteit	PunctPosNeg	PunctCt	SwabPosNeg	SwabCtIS1111	MelkPosNeg	MelkCt	MelkELISAPosNeg	MelkELISATiter	BloedELISAPosNeg	FarmID	Sequence	Vaccinated	Species
A001	>=1	neg		NA		neg		pos	383	NA	A	1	No	Goats
A002	>=1	neg		NA		neg		pos	44	NA	A	2	No	Goats
A003	>=1	neg		NA		neg		pos	120	NA	A	3	No	Goats
A004	>=1	neg		NA		pos	23.8	pos	321	NA	A	4	No	Goats
A005	>=1	neg		NA		neg		neg	8	NA	A	5	No	Goats
A006	>=1	neg		NA		neg		pos	114	NA	A	6	No	Goats
A007	>=1	neg		NA		neg		pos	45	NA	A	7	No	Goats
A008	>=1	neg		NA		neg		pos	37	NA	A	8	No	Goats
A009	>=1	pos		NA		neg		pos	62	NA	A	9	No	Goats
A010	>=1	neg		NA		neg		neg	2	NA	A	10	No	Goats
A011	>=1	neg		NA		neg		pos	114	NA	A	11	No	Goats
A012	>=1	neg		NA		neg		neg	6	NA	A	12	No	Goats
A013	>=1	neg		NA		neg		pos	45	NA	A	13	No	Goats
A014	>=1	neg		NA		neg		pos	54	NA	A	14	No	Goats
A015	>=1	neg		NA		neg		neg	27	NA	A	15	No	Goats
A016	>=1	neg		NA		neg		pos	278	NA	A	16	No	Goats
A017	>=1	neg		NA		neg		pos	99	NA	A	17	No	Goats
A018	>=1	neg		NA		neg		neg	-6	NA	A	18	No	Goats
A019	>=1	neg		NA		neg		pos	100	NA	A	19	No	Goats
A020	>=1	neg		NA		pos	30.3	pos	225	NA	A	20	No	Goats
A021	>=1	neg		NA		neg		pos	243	NA	A	21	No	Goats
A022	>=1	NA		NA		pos	32.9	pos	129	NA	A	22	No	Goats
A023	>=1	neg		NA		pos	27.1	pos	181	NA	A	23	No	Goats
A024	>=1	NA		NA		neg		neg	-2	NA	A	24	No	Goats
A025	>=1	NA		NA		neg		pos	77	NA	A	25	No	Goats
A026	>=1	neg		NA		neg		pos	40	NA	A	26	No	Goats
A027	>=1	neg		NA		neg		pos	240	NA	A	27	No	Goats
A028	>=1	NA		NA		neg		neg	29	NA	A	28	No	Goats
A029	>=1	neg		NA		neg		pos	45	NA	A	29	No	Goats
A030	>=1	NA		NA		neg		pos	137	NA	A	30	No	Goats
A031	>=1	neg		NA		NA		neg	-8	NA	A	31	No	Goats
A032	>=1	NA		NA		neg		neg	18	NA	A	32	No	Goats
A033	>=1	neg		NA		neg		neg	6	NA	A	33	No	Goats
A034	>=1	neg		NA		neg		neg	5	NA	A	34	No	Goats
A035	>=1	neg		NA		neg		pos	35	NA	A	35	No	Goats
A036	>=1	pos		NA		neg		pos	298	NA	A	36	No	Goats
A037	>=1	neg		NA		NA		pos	207	NA	A	37	No	Goats
A038	>=1	neg		NA		neg		pos	252	NA	A	38	No	Goats
A039	>=1	NA		NA		neg		pos	84	NA	A	39	No	Goats
A040	>=1	neg		NA		pos	24.7	pos	250	NA	A	40	No	Goats
A041	>=1	neg		NA		neg		pos	330	NA	A	41	No	Goats
A042	>=1	neg		NA		neg		neg	19	NA	A	42	No	Goats
A043	>=1	neg		NA		pos	31.5	pos	338	NA	A	43	No	Goats
A044	>=1	neg		NA		neg		neg	2	NA	A	44	No	Goats
A045	>=1	neg		NA		neg		pos	43	NA	A	45	No	Goats
A046	>=1	neg		NA		neg		pos	118	NA	A	46	No	Goats
A047	>=1	neg		NA		neg		neg	-3	NA	A	47	No	Goats
A048	>=1	neg		NA		neg		neg	-2	NA	A	48	No	Goats
A049	>=1	neg		NA		pos	33.7	pos	185	NA	A	49	No	Goats
A050	>=1	neg		NA		neg		pos	76	NA	A	50	No	Goats
A051	0	neg		NA		NA		NA		NA	A	51	No	Goats
A052	0	neg		NA		NA		NA		NA	A	52	No	Goats
A053	0	neg		NA		NA		NA		NA	A	53	No	Goats
A054	0	neg		NA		NA		NA		NA	A	54	No	Goats
A055	0	neg		NA		NA		NA		NA	A	55	No	Goats
A056	0	neg		NA		NA		NA		NA	A	56	No	Goats
