week,r,s,c,e,i,d,v1,v2,v3,v4,lpai,nrstart,stamping,marketing,biosecurity,vaccinated,vaccination,density,homogenous,homogenous2
week_1_00,14,334,0,,,,,,,,1,763,10,10,10,10,10,10,10,10
week_1_01,11,348,5,14,,,,,,,1,763,10,10,10,10,10,10,10,10
week_1_02,8,365,6,25,5,,,,,,1,763,10,10,10,10,10,10,10,10
week_1_03,7,390,6,33,11,,,,,,1,763,10,10,10,10,10,10,10,10
week_1_04,12,403,1,40,17,,,,,,1,763,10,10,10,10,10,10,10,10
week_1_05,18,387,12,52,18,,,,,,1,763,10,10,10,10,10,10,10,10
week_1_06,27,376,7,70,27,3,,,,,1,763,10,10,10,10,10,10,10,10
week_1_07,24,357,5,97,32,5,,,,,1,763,1,1,10,10,10,10,10,10
week_1_08,23,351,1,121,35,7,,,,,1,763,1,1,10,10,10,10,10,10
week_1_09,23,343,3,144,22,21,,,,,1,763,1,1,10,10,10,10,10,10
week_1_10,25,332,2,167,18,28,,,,,1,763,1,1,10,10,10,10,10,10
week_1_11,28,308,4,192,14,34,,,,,1,763,1,1,10,10,10,10,10,10
week_1_12,25,296,0,220,14,38,,,,,1,763,1,1,10,10,10,10,10,10
week_1_13,23,279,0,245,9,43,,,,,1,763,1,1,10,10,10,10,10,10
week_1_14,35,250,0,268,6,46,,,,,1,763,1,1,10,10,10,10,10,10
week_1_15,28,225,1,303,5,47,,,,,1,763,1,1,10,10,10,10,10,10
week_1_16,18,231,0,331,5,48,,,,,1,763,1,1,10,10,10,10,10,10
week_1_17,18,240,0,349,3,50,2,,,,1,763,1,1,10,1,1,10,10,10
week_1_18,11,241,0,367,2,51,12,,,,1,763,1,1,10,1,1,10,10,10
week_1_19,9,251,1,378,2,51,30,2,,,1,763,1,1,10,1,1,10,10,10
week_1_20,18,250,3,387,3,51,36,9,,,1,763,1,1,10,1,1,10,10,10
week_1_21,15,247,7,405,5,52,41,20,,,1,763,1,1,10,1,1,10,10,10
week_1_22,19,250,6,420,11,53,29,40,2,,1,763,1,1,10,1,1,10,10,10
week_1_23,18,248,3,439,17,53,30,47,8,,1,763,1,1,10,1,1,10,10,10
week_1_24,28,262,0,457,20,53,31,41,23,,1,763,1,1,10,1,1,10,10,10
week_1_25,23,252,0,485,19,54,40,33,39,2,1,763,1,1,10,1,1,10,10,10
week_1_26,18,248,0,508,18,55,40,36,50,5,1,763,1,1,10,1,1,10,10,10
week_1_27,19,244,1,526,13,60,41,44,52,11,1,763,1,1,10,1,1,10,10,10
week_1_28,18,238,0,545,6,68,46,50,49,22,1,763,1,1,10,1,1,10,10,10
week_1_29,26,233,0,563,2,72,37,55,55,26,1,763,1,1,10,1,1,10,10,10
week_1_30,34,228,1,589,1,73,31,55,66,31,1,763,1,10,10,1,1,10,10,10
week_1_31,24,226,0,623,1,74,36,53,71,38,1,763,1,10,10,1,1,10,10,10
